Designator,Mid X,Mid Y,Layer,Rotation
C1,128.524000mm,-45.974000mm,Top,90
C2,129.540000mm,-52.514500mm,Top,180
C3,130.746500mm,-45.947500mm,Top,90
C4,153.008500mm,-37.084000mm,Top,0
C5,153.061500mm,-35.306000mm,Top,0
C6,128.778000mm,-28.702000mm,Top,180
C7,149.352000mm,-37.084000mm,Top,180
D1,118.872000mm,-43.434000mm,Top,180
D2,111.284000mm,-43.434000mm,Top,180
D3,135.763000mm,-27.813000mm,Top,90
D4,135.763000mm,-32.385000mm,Top,90
D5,135.763000mm,-35.814000mm,Top,90
J2,111.760000mm,-34.544000mm,Top,270
Q1,130.810000mm,-58.674000mm,Top,0
Q3,142.240000mm,-30.226000mm,Top,180
Q4,142.240000mm,-35.814000mm,Top,180
R2,128.143000mm,-58.674000mm,Top,270
R3,137.668000mm,-27.813000mm,Top,270
R4,130.833500mm,-55.372000mm,Top,180
R5,142.240000mm,-27.432000mm,Top,180
R6,142.240000mm,-33.020000mm,Top,180
R7,137.668000mm,-32.385000mm,Top,270
R8,117.856000mm,-31.877000mm,Top,90
R9,117.856000mm,-37.084000mm,Top,270
R10,149.352000mm,-35.306000mm,Top,0
R11,137.668000mm,-35.814000mm,Top,270
SW1,150.749000mm,-29.591000mm,Top,0
U1,129.603500mm,-49.784000mm,Top,0
U2,145.288000mm,-48.006000mm,Top,270
U4,123.190000mm,-33.274000mm,Top,0
